id,speaker,headline,month_filmed,year_filmed,event,duration,date_published,views_as_of_06162017
1,Al Gore,Averting the climate crisis,2,2006,TED2006,0:16:17,6/27/2006,3177001
2,Amy Smith,Simple designs to save a life,2,2006,TED2006,0:15:06,8/15/2006,1379328
3,Ashraf Ghani,How to rebuild a broken state,7,2005,TEDGlobal 2005,0:18:45,10/18/2006,790536
4,Burt Rutan,The real future of space exploration,2,2006,TED2006,0:19:37,10/25/2006,1985119
5,Chris Bangle,Great cars are great art,2,2002,TED2002,0:20:04,4/5/2007,859487
6,Craig Venter,Sampling the ocean's DNA,7,2005,TEDGlobal 2005,0:16:51,4/5/2007,555826
7,David Pogue,Simplicity sells,2,2006,TED2006,0:21:26,6/27/2006,1619104
8,David Rockwell,A memorial at Ground Zero,2,2002,TED2002,0:24:37,6/12/2007,396025
9,Dean Kamen,To invent is to give,2,2002,TED2002,0:20:07,4/5/2007,670381
10,Dean Ornish,The killer American diet that's sweeping the planet,2,2006,TED2006,0:03:18,12/14/2006,2255796
11,Jane Goodall,What separates us from chimpanzees?,2,2003,TED2002,0:27:25,4/5/2007,1630430
12,Eva Vertes,Meet the future of cancer research,2,2005,TED2005,0:18:49,10/2/2006,1018304
13,Frank Gehry,"A master architect asks, Now what?",2,2002,TED2002,0:22:00,1/17/2008,949732
14,Golan Levin,Software (as) art,2,2004,TED2004,0:14:53,4/5/2007,601104
16,Helen Fisher,"Why we love, why we cheat",2,2006,TED2006,0:23:27,9/6/2006,9060677
18,Janine Benyus,Biomimicry's surprising lessons from nature's engineers,2,2005,TED2005,0:23:19,4/5/2007,1890837
19,Kevin Kelly,How technology evolves,2,2005,TED2005,0:20:00,11/14/2006,1481139
20,Malcolm Gladwell,"Choice, happiness and spaghetti sauce",2,2004,TED2004,0:17:30,9/19/2006,6872959
21,Mena Trott,Meet the founder of the blog revolution,2,2006,TED2006,0:16:46,8/25/2006,513939
22,Michael Shermer,Why people believe weird things,2,2006,TED2006,0:13:25,11/8/2006,5267062
23,Peter Gabriel,Fight injustice with raw video,2,2006,TED2006,0:14:08,12/6/2006,898024
24,Pilobolus,"A dance of ""Symbiosis""",2,2005,TED2005,0:13:45,2/9/2007,3007530
25,Richard Baraniuk,The birth of the open-source learning revolution,2,2006,TED2006,0:18:34,8/21/2006,958989
26,Rives,If I controlled the Internet,11,2006,TEDSalon 2006,0:04:07,12/14/2006,1788151
27,Ross Lovegrove,"Organic design, inspired by nature",2,2005,TED2005,0:19:30,8/15/2006,1054311
28,Seth Godin,How to get your ideas to spread,2,2003,TED2003,0:17:01,4/5/2007,5466981
29,Steven Levitt,The freakonomics of crack dealing,2,2004,TED2004,0:21:15,9/19/2006,2787305
30,Steven Levitt,Surprising stats about child carseats,7,2005,TEDGlobal 2005,0:18:58,6/24/2008,731232
31,Thom Mayne,How architecture can connect us,2,2005,TED2005,0:20:40,4/5/2007,639093
32,Vik Muniz,"Art with wire, sugar, chocolate and string",2,2003,TED2003,0:14:51,4/5/2007,1124113
33,Thomas Barnett,Let's rethink America's military strategy,2,2005,TED2005,0:23:22,6/14/2007,1117359
34,Phil Borges,Photos of endangered cultures,2,2006,TED2006,0:18:35,1/9/2007,860858
35,James Watson,How we discovered DNA,2,2005,TED2005,0:20:11,4/5/2007,1487818
36,Robert Neuwirth,The hidden world of shadow cities,7,2005,TEDGlobal 2005,0:14:03,1/2/2007,638716
37,Jimmy Wales,The birth of Wikipedia,7,2005,TEDGlobal 2005,0:20:01,8/21/2006,1088504
38,Ray Kurzweil,The accelerating power of technology,2,2005,TED2005,0:22:56,11/14/2006,2399226
39,Aubrey de Grey,A roadmap to end aging,7,2005,TEDGlobal 2005,0:22:45,10/2/2006,3203048
40,Frans Lanting,The story of life in photographs,2,2005,TED2005,0:16:17,4/5/2007,1648048
41,Nicholas Negroponte,One Laptop per Child,2,2006,TED2006,0:17:37,8/1/2006,349085
42,Martin Rees,Is this our final century?,7,2005,TEDGlobal 2005,0:17:26,1/17/2007,2094588
43,Paul Bennett,Design is in the details,7,2005,TEDGlobal 2005,0:14:10,4/5/2007,750316
44,Nick Bostrom,A philosophical quest for our biggest problems,7,2005,TEDGlobal 2005,0:16:52,4/5/2007,749161
45,Sirena Huang,An 11-year-old's magical violin,2,2006,TED2006,0:24:41,8/8/2006,2670061
46,Jennifer Lin,"Improvising on piano, aged 14",2,2004,TED2004,0:24:05,8/8/2006,1617616
47,David Deutsch,Chemical scum that dream of distant quasars,7,2005,TEDGlobal 2005,0:19:00,9/12/2006,1071291
48,Saul Griffith,Everyday inventions,2,2006,TED2006,0:14:29,2/19/2007,429912
49,Joshua Prince-Ramus,Behind the design of Seattle's library,2,2006,TED2006,0:19:58,7/10/2006,937215
50,Stefan Sagmeister,Happiness by design,2,2004,TED2004,0:15:30,4/5/2007,1715120
51,Amory Lovins,Winning the oil endgame,2,2005,TED2005,0:19:44,12/11/2007,811016
53,Majora Carter,Greening the ghetto,2,2006,TED2006,0:18:36,6/27/2006,1603487
54,Cameron Sinclair,My wish: A call for open-source architecture,2,2006,TED2006,0:23:34,7/25/2006,1197985
55,Jehane Noujaim,My wish: A global day of film,2,2006,TED2006,0:25:38,7/25/2006,381970
56,Edward Burtynsky,My wish: Manufactured landscapes and green education,2,2005,TED2005,0:34:25,10/31/2006,932317
57,Robert Fischell,My wish: Three unusual medical inventions,2,2005,TED2005,0:26:49,10/31/2006,373574
58,Larry Brilliant,My wish: Help me stop pandemics,2,2006,TED2006,0:25:50,7/25/2006,681414
