room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
3129815,15894371,Shared room,Calabasas,0,0,4,1,250
9550575,49457373,Shared room,Santa Monica,4,4,2,1,255
12430186,31238758,Shared room,Beverly Crest,0,0,2,1,120
12858956,26393483,Shared room,Long Beach,0,0,2,1,90
151157,727945,Shared room,Hollywood,0,0,2,1,85
7534005,1228539,Shared room,Silver Lake,1,0,2,1,100
6121583,26860,Shared room,Hollywood,73,4.5,3,1,100
13438388,6273003,Shared room,West Hollywood,0,0,2,1,98
14825449,1367329,Shared room,Beverly Grove,0,0,2,1,93
5797797,2967842,Shared room,North Hollywood,2,0,2,1,75
4125832,21008464,Shared room,Venice,18,4.5,2,1,69
13208418,26860,Shared room,Downtown,30,5,16,1,70
13813916,1381694,Shared room,Woodland Hills,3,4.5,2,1,69
17049204,5203056,Shared room,Woodland Hills,0,0,4,1,76
15702606,40237117,Shared room,Sherman Oaks,0,0,2,1,50
3316224,16743450,Shared room,Sherman Oaks,0,0,1,1,499
14025461,53967483,Shared room,Unincorporated Santa Monica Mountains,0,0,6,1,450
16973826,76398146,Shared room,Hollywood Hills West,0,0,16,1,500
12042906,64112930,Shared room,University Park,0,0,1,1,433
13626507,78976204,Shared room,Downtown,0,0,2,1,450
16974973,76398146,Shared room,Hollywood Hills West,0,0,16,1,500
16959968,91016926,Shared room,Mid-City,1,0,1,1,420
12973958,71404031,Shared room,University Park,0,0,1,1,350
12760823,47659458,Shared room,University Park,0,0,2,1,500
12813061,69870937,Shared room,University Park,0,0,1,1,420
9131704,41332428,Shared room,Santa Monica,2,0,6,1,225
3112785,15817315,Shared room,Hollywood,0,0,1,1,226
591220,1943558,Shared room,Inglewood,0,0,4,1,243
13831742,81573002,Shared room,El Segundo,0,0,2,1,225
13228928,28744151,Shared room,University Park,0,0,4,1,260
7275776,25033308,Shared room,Long Beach,0,0,4,1,198
15988387,103894450,Shared room,Venice,0,0,2,1,199
13687313,60400413,Shared room,Beverly Hills,0,0,1,1,200
1740690,9164331,Shared room,El Sereno,0,0,1,1,150
15251948,85556361,Shared room,Eagle Rock,1,0,1,1,172
15085952,43352348,Shared room,Redondo Beach,0,0,2,1,150
13913366,81529680,Shared room,Westwood,0,0,1,1,169
16797987,108064056,Shared room,La Crescenta-Montrose,0,0,1,1,150
15255044,85758640,Shared room,Exposition Park,0,0,1,1,172
8521458,11130300,Shared room,Hermosa Beach,1,0,2,1,150
14200210,85312523,Shared room,Palms,1,0,1,1,169
5213865,16475606,Shared room,West Los Angeles,18,5,1,1,62
12232198,26860,Shared room,Downtown,50,4.5,16,1,70
17553970,58095955,Shared room,Westwood,0,0,2,1,75
11300270,59060520,Shared room,Hollywood,0,0,2,1,75
464517,2308299,Shared room,Redondo Beach,35,5,2,1,75
17560598,63208372,Shared room,Arlington Heights,0,0,3,1,74
6505664,34007107,Shared room,Pico-Union,1,0,1,1,77
12952749,6625498,Shared room,Playa del Rey,0,0,1,1,70
17481832,172788,Shared room,Beverly Hills,0,0,1,1,75
14801382,16507910,Shared room,Santa Monica,21,5,1,1,65
15731983,101640122,Shared room,Westwood,0,0,2,1,75
9928235,46897338,Shared room,Mid-City,0,0,1,1,50
6448794,11697976,Shared room,Long Beach,1,0,1,1,59
15257994,97050871,Shared room,Lakewood,0,0,2,1,45
14355691,46589163,Shared room,Lakewood,0,0,2,1,50
10661091,20708192,Shared room,Westlake,14,5,1,1,42
12380223,26860,Shared room,Downtown,57,5,16,1,50
13897921,82352462,Shared room,Long Beach,0,0,1,1,50
16605797,77819051,Shared room,Sawtelle,1,0,1,1,45
13900149,82382485,Shared room,Lakewood,0,0,1,1,50
16350897,49357042,Shared room,Long Beach,1,0,1,1,50
13021651,31376297,Shared room,Paramount,38,5,4,1,42
15096824,16840931,Shared room,Long Beach,5,5,2,1,52
13959898,61888876,Shared room,Mid-Wilshire,1,0,2,1,55
8352508,41094286,Shared room,Santa Monica,0,0,1,1,50
15449100,5551445,Shared room,Hollywood Hills West,0,0,2,1,60
8908851,46597673,Shared room,Santa Monica,1,0,2,1,55
15534717,99926337,Shared room,Venice,0,0,1,1,60
6278457,32638163,Shared room,Sylmar,0,0,3,1,50
13561790,29391585,Shared room,Westwood,8,3.5,2,1,47
14912450,93672450,Shared room,Beverly Hills,14,5,1,1,57
15499301,81307223,Shared room,Santa Monica,0,0,1,1,49
15194789,95753572,Shared room,Stevenson Ranch,2,0,2,1,50
17499278,118595676,Shared room,Westwood,0,0,2,1,55
239117,1254174,Shared room,Venice,44,4,14,1,47
1943597,6120061,Shared room,Venice,2,0,1,1,60
3443043,1254174,Shared room,Venice,10,4,8,1,47
6544569,1254174,Shared room,Venice,11,4,8,1,47
12905264,45466424,Shared room,Mar Vista,1,0,4,1,55
8551408,26882012,Shared room,Exposition Park,0,0,1,1,55
8488784,38866074,Shared room,West Los Angeles,2,0,1,1,50
239112,1254174,Shared room,Venice,60,4,6,1,47
12489486,26860,Shared room,Downtown,25,4.5,16,1,50
9321531,9250479,Shared room,Hollywood,9,4.5,6,1,46
1045627,4995330,Shared room,Sawtelle,18,4.5,2,1,46
7401786,38771025,Shared room,Pico-Robertson,1,0,1,1,55
12906679,27598231,Shared room,Pasadena,5,3,4,1,42
8488781,29938451,Shared room,West Los Angeles,10,5,1,1,60
6800231,29391585,Shared room,Brentwood,16,4,1,1,42
16147102,26860,Shared room,East Hollywood,1,0,10,1,60
13278625,74850029,Shared room,Koreatown,0,0,1,1,50
