Year,Tm,Lg,G,W,L,Ties,WL,pythWL,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,TopPlayer,Managers,current
2016,Arizona Diamondbacks,NL West,162,69,93,0,0.426,0.424,4th of 5,22,,752,890,"2,036,216",26.7,26.4,J.Segura (5.7),C.Hale (69-93),Arizona Diamondbacks
2015,Arizona Diamondbacks,NL West,162,79,83,0,0.488,0.504,3rd of 5,13,,720,713,"2,080,145",26.6,27.1,P.Goldschmidt (8.8),C.Hale (79-83),Arizona Diamondbacks
2014,Arizona Diamondbacks,NL West,162,64,98,0,0.395,0.415,5th of 5,30,,615,742,"2,073,730",27.6,28,P.Goldschmidt (4.5),K.Gibson (63-96) and A.Trammell (1-2),Arizona Diamondbacks
2013,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.493,2nd of 5,11,,685,695,"2,134,895",28.1,27.6,P.Goldschmidt (7.1),K.Gibson (81-81),Arizona Diamondbacks
2012,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.53,3rd of 5,13,,734,688,"2,177,617",28.3,27.4,A.Hill (5.0),K.Gibson (81-81),Arizona Diamondbacks
2011,Arizona Diamondbacks,NL West,162,94,68,0,0.58,0.545,1st of 5,--,Lost LDS (3-2),731,662,"2,105,432",28.2,27.4,J.Upton (6.1),K.Gibson (94-68),Arizona Diamondbacks
2010,Arizona Diamondbacks,NL West,162,65,97,0,0.401,0.428,5th of 5,27,,713,836,"2,056,697",26.8,27.9,C.Young (5.4),A.Hinch (31-48) and K.Gibson (34-49),Arizona Diamondbacks
2009,Arizona Diamondbacks,NL West,162,70,92,0,0.432,0.462,5th of 5,25,,720,782,"2,128,765",26.5,27.7,D.Haren (7.1),B.Melvin (12-17) and A.Hinch (58-75),Arizona Diamondbacks
2008,Arizona Diamondbacks,NL West,162,82,80,0,0.506,0.509,2nd of 5,2,,720,706,"2,509,924",26.7,29.4,D.Haren (6.6),B.Melvin (82-80),Arizona Diamondbacks
2007,Arizona Diamondbacks,NL West,162,90,72,0,0.556,0.487,1st of 5,--,Lost NLCS (4-0),712,732,"2,325,249",26.6,28.2,B.Webb (5.9),B.Melvin (90-72),Arizona Diamondbacks
2006,Arizona Diamondbacks,NL West,162,76,86,0,0.469,0.491,4th of 5,12,,773,788,"2,091,685",29.6,28.8,B.Webb (7.0),B.Melvin (76-86),Arizona Diamondbacks
2005,Arizona Diamondbacks,NL West,162,77,85,0,0.475,0.406,2nd of 5,5,,696,856,"2,059,424",30.3,27.4,C.Counsell (5.5),B.Melvin (77-85),Arizona Diamondbacks
2004,Arizona Diamondbacks,NL West,162,51,111,0,0.315,0.333,5th of 5,42,,615,899,"2,519,560",28.9,29.3,R.Johnson (8.3),B.Brenly (29-50) and A.Pedrique (22-61),Arizona Diamondbacks
2003,Arizona Diamondbacks,NL West,162,84,78,0,0.519,0.521,3rd of 5,16.5,,717,685,"2,805,542",30.6,29.2,B.Webb (5.9),B.Brenly (84-78),Arizona Diamondbacks
2002,Arizona Diamondbacks,NL West,162,98,64,0,0.605,0.588,1st of 5,--,Lost LDS (3-0),819,674,"3,198,977",31.7,31.7,R.Johnson (10.7),B.Brenly (98-64),Arizona Diamondbacks
2001,Arizona Diamondbacks,NL West,162,92,70,0,0.568,0.586,1st of 5,--,Won WS (4-3),818,677,"2,736,451",31.9,30.9,R.Johnson (9.4),B.Brenly (92-70),Arizona Diamondbacks
2000,Arizona Diamondbacks,NL West,162,85,77,0,0.525,0.522,3rd of 5,12,,792,754,"2,942,251",30.8,31.6,R.Johnson (8.1),B.Showalter (85-77),Arizona Diamondbacks
1999,Arizona Diamondbacks,NL West,162,100,62,0,0.617,0.632,1st of 5,--,Lost LDS (3-1),908,676,"3,019,654",30,30.6,R.Johnson (8.8),B.Showalter (100-62),Arizona Diamondbacks
1998,Arizona Diamondbacks,NL West,162,65,97,0,0.401,0.41,5th of 5,33,,665,812,"3,610,290",27.8,27.4,O.Daal (4.1),B.Showalter (65-97),Arizona Diamondbacks
2016,Atlanta Braves,NL East,161,68,93,0,0.422,0.417,5th of 5,26.5,,649,779,"2,020,914",28.9,26.4,F.Freeman (6.5),F.Gonzalez (9-28) and B.Snitker (59-65),Atlanta Braves
2015,Atlanta Braves,NL East,162,67,95,0,0.414,0.374,4th of 5,23,,573,760,"2,001,392",28.8,26.6,A.Simmons (4.0),F.Gonzalez (67-95),Atlanta Braves
2014,Atlanta Braves,NL East,162,79,83,0,0.488,0.481,2nd of 5,17,,573,597,"2,354,305",26.8,27.3,J.Heyward (6.2),F.Gonzalez (79-83),Atlanta Braves
2013,Atlanta Braves,NL East,162,96,66,0,0.593,0.603,1st of 5,--,Lost LDS (3-1),688,548,"2,548,679",26.8,27.2,A.Simmons (7.0),F.Gonzalez (96-66),Atlanta Braves
2012,Atlanta Braves,NL East,162,94,68,0,0.58,0.57,2nd of 5,4,Lost NLWC (1-0),700,600,"2,420,171",28.5,27.6,M.Bourn (6.1),F.Gonzalez (94-68),Atlanta Braves
2011,Atlanta Braves,NL East,162,89,73,0,0.549,0.526,2nd of 5,13,,641,605,"2,372,940",28.9,28.4,E.O'Flaherty (3.4),F.Gonzalez (89-73),Atlanta Braves
2010,Atlanta Braves,NL East,162,91,71,0,0.562,0.573,2nd of 5,6,Lost LDS (3-1),738,629,"2,510,119",28.6,30.1,J.Heyward (6.4),B.Cox (91-71),Atlanta Braves
2009,Atlanta Braves,NL East,162,86,76,0,0.531,0.562,3rd of 5,7,,735,641,"2,373,631",28.8,28.9,J.Jurrjens (6.8),B.Cox (86-76),Atlanta Braves
2008,Atlanta Braves,NL East,162,72,90,0,0.444,0.485,4th of 5,20,,753,778,"2,532,834",27.2,28.6,C.Jones (7.3),B.Cox (72-90),Atlanta Braves
2007,Atlanta Braves,NL East,162,84,78,0,0.519,0.546,3rd of 5,5,,810,733,"2,745,207",27.7,29.4,C.Jones (7.6),B.Cox (84-78),Atlanta Braves
2006,Atlanta Braves,NL East,162,79,83,0,0.488,0.524,3rd of 5,18,,849,805,"2,550,524",27.5,29.4,J.Smoltz (5.9),B.Cox (79-83),Atlanta Braves
2005,Atlanta Braves,NL East,162,90,72,0,0.556,0.56,1st of 5,--,Lost LDS (3-1),769,674,"2,521,167",28.1,28.6,A.Jones (6.7),B.Cox (90-72),Atlanta Braves
2004,Atlanta Braves,NL East,162,96,66,0,0.593,0.583,1st of 5,--,Lost LDS (3-2),803,668,"2,327,565",28.9,30.1,J.Drew (8.3),B.Cox (96-66),Atlanta Braves
2003,Atlanta Braves,NL East,162,101,61,0,0.623,0.592,1st of 5,--,Lost LDS (3-2),907,740,"2,401,084",30.3,31.1,M.Giles (7.8),B.Cox (101-61),Atlanta Braves
2002,Atlanta Braves,NL East,161,101,59,1,0.631,0.602,1st of 5,--,Lost LDS (3-2),708,565,"2,603,484",30.6,31.1,A.Jones (6.6),B.Cox (101-59),Atlanta Braves
2001,Atlanta Braves,NL East,162,88,74,0,0.543,0.557,1st of 5,--,Lost NLCS (4-1),729,643,"2,823,530",30.3,31.1,C.Jones (5.9),B.Cox (88-74),Atlanta Braves
2000,Atlanta Braves,NL East,162,95,67,0,0.586,0.557,1st of 5,--,Lost LDS (3-0),810,714,"3,234,304",30.7,31.4,A.Jones (8.2),B.Cox (95-67),Atlanta Braves
1999,Atlanta Braves,NL East,162,103,59,0,0.636,0.608,1st of 5,--,Lost WS (4-0),840,661,"3,284,897",29.6,28.6,A.Jones (7.1),B.Cox (103-59),Atlanta Braves
1998,Atlanta Braves,NL East,162,106,56,0,0.654,0.656,1st of 5,--,Lost NLCS (4-2),826,581,"3,360,860",28.9,29.5,A.Jones (7.4),B.Cox (106-56),Atlanta Braves
1997,Atlanta Braves,NL East,162,101,61,0,0.623,0.638,1st of 5,--,Lost NLCS (4-2),791,581,"3,464,488",27.9,28.5,G.Maddux (7.7),B.Cox (101-61),Atlanta Braves
1996,Atlanta Braves,NL East,162,96,66,0,0.593,0.58,1st of 5,--,Lost WS (4-2),773,648,"2,901,242",27.9,27.9,J.Smoltz (7.7),B.Cox (96-66),Atlanta Braves
1995,Atlanta Braves,NL East,144,90,54,0,0.625,0.581,1st of 5,--,Won WS (4-2),645,540,"2,561,831",27.9,27.4,G.Maddux (9.6),B.Cox (90-54),Atlanta Braves
1994,Atlanta Braves,NL East,114,68,46,0,0.596,0.586,2nd of 5,6,,542,448,"2,539,240",28.2,27.4,G.Maddux (8.7),B.Cox (68-46),Atlanta Braves
1993,Atlanta Braves,NL West,162,104,58,0,0.642,0.641,1st of 7,--,Lost NLCS (4-2),767,559,"3,884,720",28.8,26.8,R.Gant (6.5),B.Cox (104-58),Atlanta Braves
1992,Atlanta Braves,NL West,162,98,64,0,0.605,0.582,1st of 6,--,Lost WS (4-2),682,569,"3,077,400",28.4,27.5,T.Pendleton (4.9),B.Cox (98-64),Atlanta Braves
